puzzle,solution,clues,difficulty,level
......95....64..7......7.1..38.15..25..87..6...72.....7...5...9.5.....2.3.94.....,471382956985641273263597418638915742592874361147263895724158639856739124319426587,26,0.0,Beginner
...4...5...9.....2...5.3.8.1.....83.....75....6....1.....78.5.6......9...24.6....,618427359359618472247593681172946835893175264465832197931784526786251943524369718,22,0.0,Beginner
.2...8...1.8.79...6.....49...2......8.4..3..7.1...2...7..9.........1.64.5..8..2..,429368715158479362637251498972685134864193527315742986741926853283517649596834271,24,0.0,Beginner
28.9..47.9...215...3.7.....5...3.26..4....7.....2...41.145.......9...1...2.......,281953476967421583435786912578134269142698735396275841814562397659347128723819654,26,0.0,Beginner
9...6......3.5.4...4.7..39..7..8..59....2...14..6.....6..5..........95....1.4..3.,927463185183952467546718392372184659869325741415697823698531274234879516751246938,24,0.0,Beginner
.32..59...5....32.8..9...4...........83..47..17......8.1..9.5.....7...6.5...6....,432175986951846327867932145295687413683514792174329658716298534348751269529463871,24,0.0,Beginner
..1..3.........8.52..8941....82..4...1.....5..425..7.1......2..9.7.....4...7.6..3,481653927396127845275894136538271469719468352642539781163945278957382614824716593,26,0.0,Beginner
95....4.....9.27....4.7...8..6..98....57....18..3.....2..6.1..............8....35,957836412681942753324175698736519824495728361812364579243651987579283146168497235,23,0.0,Beginner
.1.........79....49....38.....5...42.637..18...2.48..7.8.4.2..1....3.....3.......,618254973327986514945173826879561342463729185152348697586492731291637458734815269,25,0.0,Beginner
8.....2...4...7..8..7.5.....7.9.316.6.3..1........6..5...47...3...1..6...8.3....2,859634271346217598217859436578923164623541789194786325965472813432198657781365942,25,0.0,Beginner
9.6.5..2......37.4....2............1....41.7..482......8..193....3...5..694..8...,976854123852193764431627985327986451569341872148275639285719346713462598694538217,25,0.0,Beginner
9..1.3.........8......5.97.......7244..8.....1.36......2...4..1..........945..6..,985173462237469815641258973869315724452897136173642598726984351518736249394521687,22,0.0,Beginner
..3....1..54..7.....689...5......8..14..62......9..2.....27..68......32.3....6..9,783625914954317682216894735529431876148762593637958241495273168861549327372186459,25,0.0,Beginner
..4...12.9............7...678.1.5.49.1..492...3.7..5....18.....89.....7.........4,374698125965214738128573496782165349516349287439782561641827953893451672257936814,25,0.0,Beginner
2.6.7...4.5......19.48......8..94....42.....3...........5.........3.2.857..4.6...,216573894853649271974821356381294567542768913697135428135987642469312785728456139,23,0.0,Beginner
...5.3..8.83.4.9...4........21...7..3.....162........9..9.....6..7.1.5...164...8.,192563478683247951745189623921836745378954162564721839459378216837612594216495387,25,0.0,Beginner
.....6....6745...2.81.7..95.......5.9.8..2..4..36.........61..8.9.....27......4..,529186743367459182481273695674398251958712364213645879742561938196834527835927416,25,0.0,Beginner
....627...32.......6.....54....1.5.....3...9.91......8...2.36.584.5....3......8..,581462739432795186769138254374819562628357491915624378197283645846571923253946817,24,0.0,Beginner
....9..57.97...4.6.1.....9.3..86...2.....273...9.....8...31..6.1.3..82....4..7...,836294157597183426412576893375861942681942735249735618728319564163458279954627381,27,0.0,Beginner
42..3.9.....49......8....23...87...........4..79..3.5.36.7...9......4...2..1....8,425638917713492685698517423542876139836951742179243856361785294987324561254169378,24,0.0,Beginner
.31.6...4.....1.....8.3.........635..6.27.8..82........13.5..2...21..4...9..8.7..,931568274647921583258734196179846352364275819825319647413657928782193465596482731,26,0.0,Beginner
....1..3.4......5..25.8..6..7....51....9.52.8...3.......4.....7.8..29.........12.,768512439413697852925483761679248513341965278852371694234156987186729345597834126,23,0.0,Beginner
